Run_Timestamp,Strategy,Benchmark,Period,Top_N,Worst_Rank_Held,Regime_Filter,Weeks,Total_Return_%,CAGR_%,Max_Drawdown_%,Win_Rate_%,Avg_Weekly_Return_%,Total_Trades,Sharpe,Sortino,Calmar,Ann_Volatility_%,Avg_Turnover_%,Alpha_%,Information_Ratio,Bench_Total_Return_%,Bench_CAGR_%,Bench_Max_Drawdown_%,Final_Value,Bench_Final_Value
2026-05-15 00:59:44,base,Nifty_50,2022-01-07 to 2026-05-13,5,5,False,227,251.62,33.38,-13.36,60.8,0.58,289,2.1,3.23,2.5,15.88,37.6,26.92,1.87,31.44,6.46,-16.23,351620.49,131437.69
2026-05-15 01:00:08,base,Nifty_50,2022-01-07 to 2026-05-13,5,7,False,227,239.06,32.27,-14.12,63.4,0.56,158,2.06,2.94,2.29,15.63,21.7,25.81,1.88,31.44,6.46,-16.23,339062.96,131437.69
2026-05-15 01:00:56,base,Nifty_500,2022-01-07 to 2026-05-13,5,5,False,227,254.14,33.6,-13.36,60.8,0.58,287,2.11,3.25,2.51,15.93,37.3,24.58,1.71,45.79,9.02,-18.82,354144.26,145794.75
2026-05-15 01:01:16,base,Nifty_500,2022-01-07 to 2026-05-13,5,7,False,227,235.52,31.96,-14.12,63.4,0.56,157,2.05,2.91,2.26,15.58,21.4,22.94,1.7,45.79,9.02,-18.82,335521.16,145794.75
2026-05-15 01:05:54,base,Nifty_500,2025-01-03 to 2026-05-13,5,5,False,71,57.08,39.2,-11.17,57.7,0.67,101,2.15,3.59,3.51,18.24,38.9,40.27,2.13,-1.46,-1.07,-13.12,157077.41,98543.25
2026-05-15 01:06:09,base,Nifty_500,2025-01-03 to 2026-05-13,5,7,False,71,58.38,40.04,-9.68,57.7,0.68,66,2.3,3.73,4.14,17.38,26.5,41.11,2.27,-1.46,-1.07,-13.12,158382.4,98543.25
2026-05-15 01:11:02,base,Nifty_50,2025-01-03 to 2026-05-13,5,5,False,71,56.74,38.98,-11.17,57.7,0.67,101,2.15,3.57,3.49,18.1,39.1,40.79,2.27,-2.47,-1.81,-13.73,156740.58,97533.19
2026-05-15 01:11:17,base,Nifty_50,2025-01-03 to 2026-05-13,5,7,False,71,59.7,40.89,-9.68,57.7,0.69,66,2.33,3.82,4.23,17.52,26.7,42.71,2.45,-2.47,-1.81,-13.73,159697.83,97533.19
2026-05-15 01:12:34,base,Nifty_500,2024-09-06 to 2025-03-28,5,5,False,29,11.42,21.39,-9.94,51.7,0.41,37,1.11,2.37,2.15,19.27,33.3,37.12,1.53,-9.11,-15.74,-18.82,111415.18,90892.85
2026-05-15 01:13:19,base,Nifty_500,2024-09-06 to 2025-03-28,5,7,False,29,5.23,9.57,-10.88,51.7,0.21,21,0.52,0.88,0.88,18.25,18.1,25.31,1.16,-9.11,-15.74,-18.82,105228.41,90892.85
