Run_Timestamp,Strategy,Benchmark,Period,Top_N,Worst_Rank_Held,Regime_Filter,Weeks,Mid_Week_9EMA_Exits,Total_Return_%,CAGR_%,Max_Drawdown_%,Win_Rate_%,Avg_Weekly_Return_%,Total_Trades,Sharpe,Sortino,Calmar,Ann_Volatility_%,Avg_Turnover_%,Alpha_%,Information_Ratio,Bench_Total_Return_%,Bench_CAGR_%,Bench_Max_Drawdown_%,Final_Value,Bench_Final_Value
2026-05-15 00:59:47,9ema,Nifty_50,2022-01-07 to 2026-05-13,5,5,False,227,63,180.46,26.65,-12.2,59.0,0.47,198,1.9,2.9,2.18,14.05,23.6,20.19,1.57,31.44,6.46,-16.23,280462.88,131437.69
2026-05-15 01:00:09,9ema,Nifty_50,2022-01-07 to 2026-05-13,5,7,False,227,27,178.75,26.47,-13.48,63.0,0.47,119,1.8,2.53,1.96,14.68,15.1,20.01,1.55,31.44,6.46,-16.23,278751.54,131437.69
2026-05-15 01:00:54,9ema,Nifty_500,2022-01-07 to 2026-05-13,5,5,False,227,64,181.89,26.79,-12.2,59.0,0.48,199,1.9,2.92,2.2,14.12,23.7,17.77,1.36,45.79,9.02,-18.82,281888.23,145794.75
2026-05-15 01:01:20,9ema,Nifty_500,2022-01-07 to 2026-05-13,5,7,False,227,29,179.85,26.58,-12.78,63.4,0.47,121,1.82,2.55,2.08,14.63,15.3,17.56,1.35,45.79,9.02,-18.82,279847.3,145794.75
2026-05-15 01:05:26,9ema,Nifty_500,2025-01-03 to 2026-05-13,5,5,False,71,14,53.83,37.08,-9.28,57.7,0.63,63,2.33,3.8,3.99,15.92,23.4,38.15,2.1,-1.46,-1.07,-13.12,153826.89,98543.25
2026-05-15 01:05:49,9ema,Nifty_500,2025-01-03 to 2026-05-13,5,7,False,71,10,44.12,30.69,-7.75,59.2,0.54,45,2.03,3.09,3.96,15.11,16.5,31.76,1.78,-1.46,-1.07,-13.12,144123.59,98543.25
2026-05-15 01:11:09,9ema,Nifty_50,2025-01-03 to 2026-05-13,5,5,False,71,14,52.73,36.37,-9.28,57.7,0.62,63,2.31,3.72,3.92,15.74,23.4,38.18,2.27,-2.47,-1.81,-13.73,152729.38,97533.19
2026-05-15 01:11:23,9ema,Nifty_50,2025-01-03 to 2026-05-13,5,7,False,71,10,44.12,30.69,-7.75,59.2,0.54,45,2.03,3.09,3.96,15.15,16.5,32.5,1.93,-2.47,-1.81,-13.73,144120.28,97533.19
2026-05-15 01:12:28,9ema,Nifty_500,2024-09-06 to 2025-03-28,5,5,False,29,8,0.74,1.33,-11.66,48.3,0.05,32,0.08,0.16,0.11,16.31,25.8,35.09,1.16,-20.52,-33.76,-27.87,100739.97,79475.58
2026-05-15 01:13:23,9ema,Nifty_500,2024-09-06 to 2025-03-28,5,7,False,29,4,-3.6,-6.36,-12.78,48.3,-0.1,21,-0.38,-0.6,-0.5,16.87,16.1,9.37,0.51,-9.11,-15.74,-18.82,96400.56,90892.85
